Sales,Order_Sales_Sum,customer_avg_sales,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Category_Furniture,Category_Office Supplies,Category_Technology,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Season_Fall,Season_Spring,Season_Summer,Season_Winter,City_freq,State_freq,Sub-Category_freq,Product Name_freq
854.94,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0006122448979591836,0.012448979591836735,0.06193877551020408,0.0009183673469387755
842.352,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.017346938775510204,0.19857142857142857,0.06193877551020408,0.0008163265306122449
8.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0010204081632653062,0.010714285714285714,0.15224489795918367,0.001326530612244898
669.08,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0008163265306122449,0.012448979591836735,0.08489795918367347,0.0005102040816326531
48.896,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.15224489795918367,0.0008163265306122449
26.376,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003163265306122449,0.0463265306122449,0.08938775510204082,0.00020408163265306123
876.3,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.005204081632653061,0.02520408163265306,0.032040816326530615,0.0005102040816326531
185.376,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.005204081632653061,0.02520408163265306,0.018775510204081632,0.0008163265306122449
8.39,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.04683673469387755,0.0006122448979591836
135.516,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.054285714285714284,0.059387755102040814,0.08938775510204082,0.0006122448979591836
12.96,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00020408163265306123,0.025816326530612246,0.13653061224489796,0.0005102040816326531
57.23,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.017346938775510204,0.19857142857142857,0.08489795918367347,0.0006122448979591836
134.288,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022551020408163265,0.0463265306122449,0.025306122448979593,0.0006122448979591836
352.45,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.054285714285714284,0.059387755102040814,0.023061224489795917,0.0007142857142857143
45.696,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003673469387755102,0.03806122448979592,0.095,0.0005102040816326531
1.08,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0069387755102040816,0.01826530612244898,0.15224489795918367,0.0012244897959183673
23.976,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022551020408163265,0.0463265306122449,0.13653061224489796,0.0003061224489795918
18.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.05102040816326531,0.19857142857142857,0.03642857142857143,0.0006122448979591836
1499.95,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00020408163265306123,0.005408163265306122,0.0067346938775510205,0.0006122448979591836
66.36,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.022551020408163265,0.01806122448979592,0.07714285714285714,0.0006122448979591836
6.858,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.054285714285714284,0.059387755102040814,0.15224489795918367,0.0008163265306122449
54.712,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0009183673469387755,0.0463265306122449,0.095,0.0003061224489795918
8.64,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05102040816326531,0.19857142857142857,0.08010204081632653,0.00040816326530612246
21.36,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0010204081632653062,0.006224489795918367,0.095,0.0008163265306122449
11.43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00836734693877551,0.005408163265306122,0.15224489795918367,0.0009183673469387755
13.9,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04346938775510204,0.05142857142857143,0.08010204081632653,0.0011224489795918367
319.9,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.022551020408163265,0.01806122448979592,0.15224489795918367,0.0007142857142857143
140.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.08010204081632653,0.0008163265306122449
6.264,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.003163265306122449,0.02520408163265306,0.03642857142857143,0.0006122448979591836
60.81,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07428571428571429,0.19857142857142857,0.04683673469387755,0.0006122448979591836
35.352,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.04346938775510204,0.05142857142857143,0.15224489795918367,0.0011224489795918367
30.84,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003673469387755102,0.009489795918367346,0.15224489795918367,0.0010204081632653062
273.666,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.004285714285714286,0.19857142857142857,0.023061224489795917,0.0003061224489795918
6.924,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00010204081632653062,0.09928571428571428,0.15224489795918367,0.0008163265306122449
98.376,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022551020408163265,0.0463265306122449,0.13653061224489796,0.0011224489795918367
80.3,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07428571428571429,0.19857142857142857,0.08489795918367347,0.00040816326530612246
16.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05102040816326531,0.19857142857142857,0.07714285714285714,0.0012244897959183673
899.97,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0032653061224489797,0.006224489795918367,0.0067346938775510205,0.0007142857142857143
65.44,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001326530612244898,0.09928571428571428,0.07714285714285714,0.0012244897959183673
546.66,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01173469387755102,0.025816326530612246,0.06193877551020408,0.0010204081632653062
198.272,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0032653061224489797,0.022755102040816325,0.13653061224489796,0.0006122448979591836
30.96,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015918367346938776,0.09928571428571428,0.15224489795918367,0.0007142857142857143
25.92,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04346938775510204,0.05142857142857143,0.13653061224489796,0.0008163265306122449
5.184,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005102040816326531,0.09928571428571428,0.13653061224489796,0.0008163265306122449
3610.848,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002653061224489796,0.19857142857142857,0.032040816326530615,0.0012244897959183673
139.44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.15224489795918367,0.0010204081632653062
35.44,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.002653061224489796,0.19857142857142857,0.13653061224489796,0.0005102040816326531
13.98,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001326530612244898,0.025816326530612246,0.08489795918367347,0.0005102040816326531
17.472,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.054285714285714284,0.059387755102040814,0.095,0.0007142857142857143
1369.764,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0029591836734693877,0.0186734693877551,0.15224489795918367,0.0009183673469387755
489.92,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0016326530612244899,0.022857142857142857,0.08489795918367347,0.0005102040816326531
77.6,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07428571428571429,0.19857142857142857,0.095,0.0006122448979591836
17.22,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.005204081632653061,0.02520408163265306,0.15224489795918367,0.0007142857142857143
659.988,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022551020408163265,0.0463265306122449,0.0067346938775510205,0.0007142857142857143
156.3728,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015918367346938776,0.09928571428571428,0.023061224489795917,0.0007142857142857143
219.184,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.017346938775510204,0.19857142857142857,0.08938775510204082,0.0007142857142857143
3.008,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022551020408163265,0.0463265306122449,0.021836734693877553,0.004693877551020408
15.48,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09091836734693877,0.11193877551020408,0.08010204081632653,0.0003061224489795918
8.26,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.07428571428571429,0.19857142857142857,0.03642857142857143,0.0009183673469387755
72.64,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.017346938775510204,0.19857142857142857,0.07714285714285714,0.0009183673469387755
384.944,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0007142857142857143,0.04928571428571429,0.023061224489795917,0.00020408163265306123
11.96,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01173469387755102,0.025816326530612246,0.08010204081632653,0.0006122448979591836
368.97,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002653061224489796,0.0067346938775510205,0.06193877551020408,0.0005102040816326531
8.92,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.004183673469387755,0.006122448979591836,0.095,0.00040816326530612246
45.68,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00836734693877551,0.005408163265306122,0.13653061224489796,0.0005102040816326531
37.94,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.13653061224489796,0.0007142857142857143
8.32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022551020408163265,0.0463265306122449,0.095,0.0014285714285714286
763.28,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019387755102040817,0.09928571428571428,0.06193877551020408,0.0007142857142857143
63.96,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.001836734693877551,0.022857142857142857,0.15224489795918367,0.0006122448979591836
38.34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09091836734693877,0.11193877551020408,0.08010204081632653,0.0007142857142857143
43.584,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07428571428571429,0.19857142857142857,0.15224489795918367,0.0007142857142857143
71.12,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00826530612244898,0.013775510204081633,0.095,0.0005102040816326531
1067.94,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0011224489795918367,0.006122448979591836,0.06193877551020408,0.0006122448979591836
11.824,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0022448979591836735,0.03806122448979592,0.08938775510204082,0.0003061224489795918
1406.86,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0009183673469387755,0.005408163265306122,0.023061224489795917,0.0003061224489795918
17.28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009387755102040816,0.009489795918367346,0.03642857142857143,0.0005102040816326531
532.704,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004285714285714286,0.0463265306122449,0.095,0.0005102040816326531
9.82,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0016326530612244899,0.013775510204081633,0.095,0.0007142857142857143
137.54,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04346938775510204,0.05142857142857143,0.095,0.0005102040816326531
67.9,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.016428571428571428,0.022857142857142857,0.08489795918367347,0.0006122448979591836
62.79,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03816326530612245,0.09928571428571428,0.04683673469387755,0.0006122448979591836
14.56,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09091836734693877,0.11193877551020408,0.095,0.0007142857142857143
39.96,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.004285714285714286,0.19857142857142857,0.13653061224489796,0.0005102040816326531
34.95,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0006122448979591836,0.0024489795918367346,0.07714285714285714,0.0006122448979591836
47.516,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0019387755102040817,0.09928571428571428,0.06193877551020408,0.0005102040816326531
68.112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03142857142857143,0.04928571428571429,0.07714285714285714,0.0011224489795918367
63.47,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04346938775510204,0.05142857142857143,0.095,0.0005102040816326531
21.2,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016428571428571428,0.0067346938775510205,0.07714285714285714,0.0003061224489795918
22.45,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0006122448979591836,0.013775510204081633,0.15224489795918367,0.0020408163265306124
1871.88,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.006122448979591836,0.022857142857142857,0.08938775510204082,0.0008163265306122449
44.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.04346938775510204,0.05142857142857143,0.03642857142857143,0.0005102040816326531
363.92,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0019387755102040817,0.19857142857142857,0.06193877551020408,0.0014285714285714286
605.34,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00020408163265306123,0.006122448979591836,0.06193877551020408,0.0005102040816326531
89.97,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05102040816326531,0.19857142857142857,0.07714285714285714,0.001530612244897959
47.9,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0009183673469387755,0.19857142857142857,0.13653061224489796,0.0005102040816326531
195.136,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0005102040816326531,0.012448979591836735,0.06193877551020408,0.0008163265306122449
238.896,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0069387755102040816,0.01826530612244898,0.07714285714285714,0.0005102040816326531
89.82,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0029591836734693877,0.010714285714285714,0.08489795918367347,0.0006122448979591836
853.092,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.054285714285714284,0.059387755102040814,0.032040816326530615,0.0009183673469387755
4.338,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005102040816326531,0.0186734693877551,0.15224489795918367,0.0009183673469387755
12.768,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012755102040816327,0.02520408163265306,0.018775510204081632,0.001836734693877551
35.91,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0010204081632653062,0.11193877551020408,0.04683673469387755,0.001326530612244898
